"species","continent","earliest_year"
"Ocimum basilicum L.","Asia",1888
"Ocimum basilicum L.","Africa",1839
"Ocimum basilicum L.","South America",1847
"Ocimum basilicum L.","Europe",1785
"Ocimum basilicum L.","Oceania",1897
"Ocimum basilicum L.","North America",1822
