"species","continent","earliest_year"
"Triticum L.","Asia",1827
"Triticum L.","South America",1860
"Triticum L.","Europe",1574
"Triticum L.","Oceania",1934
"Triticum L.","North America",1868
"Triticum L.","Africa",1848
