"species","continent","earliest_year"
"Capsicum L.","Asia",1827
"Capsicum L.","Europe",1771
"Capsicum L.","Africa",1839
"Capsicum L.","South America",1800
"Capsicum L.","Oceania",1876
"Capsicum L.","North America",1846
