"species","continent","earliest_year"
"Zea mays L.","Asia",1882
"Zea mays L.","South America",1868
"Zea mays L.","Europe",1785
"Zea mays L.","Africa",1907
"Zea mays L.","Oceania",1914
"Zea mays L.","North America",1838
