"species","continent","earliest_year"
"Olea europaea L.","Europe",1500
"Olea europaea L.","Asia",1871
"Olea europaea L.","Africa",1879
"Olea europaea L.","South America",1901
"Olea europaea L.","Oceania",1900
"Olea europaea L.","North America",1907
