Region_Code;Region Name;Sub-region Code;Sub-region Name;ISO_alpha2_Code
142;Asia;34;Southern Asia;IR
142;Asia;34;Southern Asia;MV
142;Asia;34;Southern Asia;NP
142;Asia;34;Southern Asia;PK
142;Asia;34;Southern Asia;LK
142;Asia;145;Western Asia;AM
142;Asia;145;Western Asia;AZ
142;Asia;145;Western Asia;BH
142;Asia;145;Western Asia;CY
142;Asia;145;Western Asia;GE
142;Asia;145;Western Asia;IQ
142;Asia;145;Western Asia;IL
142;Asia;145;Western Asia;JO
142;Asia;145;Western Asia;KW
142;Asia;145;Western Asia;LB
142;Asia;145;Western Asia;OM
142;Asia;145;Western Asia;QA
142;Asia;145;Western Asia;SA
142;Asia;145;Western Asia;PS
142;Asia;145;Western Asia;SY
142;Asia;145;Western Asia;TR
142;Asia;145;Western Asia;AE
142;Asia;145;Western Asia;YE
150;Europe;151;Eastern Europe;BY
150;Europe;151;Eastern Europe;BG
150;Europe;151;Eastern Europe;CZ
150;Europe;151;Eastern Europe;HU
150;Europe;151;Eastern Europe;PL
150;Europe;151;Eastern Europe;MD
150;Europe;151;Eastern Europe;RO
150;Europe;151;Eastern Europe;RU
150;Europe;151;Eastern Europe;SK
150;Europe;151;Eastern Europe;UA
150;Europe;154;Northern Europe;AX
150;Europe;154;Northern Europe;DK
150;Europe;154;Northern Europe;EE
150;Europe;154;Northern Europe;FO
150;Europe;154;Northern Europe;FI
150;Europe;154;Northern Europe;GG
150;Europe;154;Northern Europe;IS
150;Europe;154;Northern Europe;IE
150;Europe;154;Northern Europe;IM
150;Europe;154;Northern Europe;JE
150;Europe;154;Northern Europe;LV
150;Europe;154;Northern Europe;LT
150;Europe;154;Northern Europe;NO
150;Europe;154;Northern Europe;SJ
150;Europe;154;Northern Europe;SE
150;Europe;154;Northern Europe;GB
150;Europe;39;Southern Europe;AL
150;Europe;39;Southern Europe;AD
150;Europe;39;Southern Europe;BA
150;Europe;39;Southern Europe;HR
150;Europe;39;Southern Europe;GI
150;Europe;39;Southern Europe;GR
150;Europe;39;Southern Europe;VA
150;Europe;39;Southern Europe;IT
150;Europe;39;Southern Europe;MT
150;Europe;39;Southern Europe;ME
150;Europe;39;Southern Europe;MK
150;Europe;39;Southern Europe;PT
150;Europe;39;Southern Europe;SM
150;Europe;39;Southern Europe;RS
150;Europe;39;Southern Europe;SI
150;Europe;39;Southern Europe;ES
150;Europe;155;Western Europe;AT
150;Europe;155;Western Europe;BE
150;Europe;155;Western Europe;FR
150;Europe;155;Western Europe;DE
150;Europe;155;Western Europe;LI
150;Europe;155;Western Europe;LU
150;Europe;155;Western Europe;MC
150;Europe;155;Western Europe;NL
150;Europe;155;Western Europe;CH
9;Oceania;53;Australia and New Zealand;AU
9;Oceania;53;Australia and New Zealand;CX
9;Oceania;53;Australia and New Zealand;CC
9;Oceania;53;Australia and New Zealand;HM
9;Oceania;53;Australia and New Zealand;NZ
9;Oceania;53;Australia and New Zealand;NF
9;Oceania;54;Melanesia;FJ
9;Oceania;54;Melanesia;NC
9;Oceania;54;Melanesia;PG
9;Oceania;54;Melanesia;SB
9;Oceania;54;Melanesia;VU
9;Oceania;57;Micronesia;GU
9;Oceania;57;Micronesia;KI
9;Oceania;57;Micronesia;MH
9;Oceania;57;Micronesia;FM
9;Oceania;57;Micronesia;NR
